unique_identifier,location_name,address_line1,address_line2,address_line3,address_city,address_county,address_post_code,country,ladnm,lsoa21,lsoa21nm,defibrillators_availability,defibrillators_access_type,lat,long,county
57A5BE34-5555-420A-AEE5-AF5400C6EB9B,,Victoria Inn,549 Atherton Road,,Hindley Green,Wigan,WN2 4QF,England,Wigan,E01006280,Wigan 019C,24/7 Access,Public,53.5267065,-2.5572188,Greater Manchester
F04CEFEC-54AC-4A20-9AB2-B02600BBE477,Tesco Hindley Green,Atherton Rd,Hindley Green,Wigan,Hindley Green,Wigan,WN2 4SQ,England,Wigan,E01006278,Wigan 019A,Varied Access,Public,53.5254103,-2.5537475,Greater Manchester
49AEECAF-BFD8-499D-8294-AFE800B8F28E,Screwfix Hindley Green,Greenbank Industrial Estate,Atherton Road,Hindley Green,Hindley Green,Wigan,WN2 4SQ,England,Wigan,E01006278,Wigan 019A,Varied Access,Restricted,53.5254103,-2.5537475,Greater Manchester
38472FA5-EBD3-42EB-8C24-B22D00939C52,The Aspire Federation,Oakfield High School,Long Lane,,Hindley Green,Wigan,WN2 4XA,England,Wigan,E01006285,Wigan 019E,Varied Access,Public,53.5325,-2.55387,Greater Manchester
50E5AF32-9A45-499C-8ABC-B15D00EF9874,Platt Bridge Community Zone,Platt Bridge Community Zone,81 Ribble Road,,Platt Bridge,Wigan,WN2 5EG,England,Wigan,E01006215,Wigan 024B,24/7 Access,Public,53.5198,-2.60441,Greater Manchester
A10FC1F9-B78E-4A77-ADDD-B0BC000EE698,St John’s Street Playing Fields,St John’s Street Playing Fields,St John’s Street,Abram,Wigan,Lancashire,WN2 5RH,England,Wigan,E01006214,Wigan 026B,24/7 Access,Public,53.5098,-2.59225,Greater Manchester
81C0C0E6-7373-4472-8D15-B46500A64BE4,Wates Office Accommodation,Car Park And Land South Of Hm Prison Hindley,Barracks Road,,Bickershaw,Wigan,WN2 5TH,England,Wigan,E01006329,Wigan 026E,24/7 Access,Public,53.51789256,-2.573743051,Greater Manchester
285A42CB-3F61-4FBE-A4C7-AE4400EB0F0F,1st Abram Scout Group,Scout Hut,Fisher Avenue,,Abram,Wigan,WN2 5XL,England,Wigan,E01006216,Wigan 026C,24/7 Access,Public,53.50534144,-2.588082254,Greater Manchester
29EF3441-8FAC-4A7D-9EA2-B33500AE6B07,259 Crankwood Road ,259 Crankwood Road,Abram,,Wigan,Greater Manchester,WN2 5YB,England,Wigan,E01006327,Wigan 033E,24/7 Access,Restricted,53.49624089,-2.576869853,Greater Manchester
580BBB3F-6C28-47DE-BDB4-AD7F00D86BE5,,Arnold Clark Wigan Motorstore,Wallgate,,Wigan,Wigan,WN3 4AL,England,Wigan,E01006349,Wigan 015A,24/7 Access,Public,53.5426952,-2.639959,Greater Manchester
99F65FAA-2110-441A-873E-AECF010C79B5,Surestore Wigan,Brown Street,Wigan,,Wigan,Wigan,WN3 4DH,England,Wigan,E01006349,Wigan 015A,24/7 Access,Public,53.5435456,-2.636051,Greater Manchester
9AA93A75-43E9-40A3-86F9-B2290119E741,The Rock Ferry,145 Warrington Road,,,Ince,Wigan,WN3 4JS,England,Wigan,E01006310,Wigan 012D,24/7 Access,Public,53.5376,-2.62043,Greater Manchester
366E79BB-1114-4645-8FF3-B18A013843BD,,Ebenezer School & Chapel,James Street,,Ince,Wigan,WN3 4JY,England,Wigan,E01006310,Wigan 012D,24/7 Access,Public,53.53796768,-2.62288928,Greater Manchester
D9BEE8D3-FAD6-43D3-82F8-AE7600E2D74A,Way Church,The Edge,Riveredge,,Wigan,Wigan,WN3 5AB,England,Wigan,E01006349,Wigan 015A,24/7 Access,Public,53.54086,-2.64242,Greater Manchester
C5A7FE3D-67B2-4EDC-A45C-B02600F4EB84,St Jude's Primary School Office,St Judes Catholic Primary School,Worsley Mesnes Drive,,Wigan,Wigan,WN3 5AN,England,Wigan,E01006411,Wigan 015E,Varied Access,Restricted,53.53223,-2.65141,Greater Manchester
5475A022-1039-4C36-B656-B20A00BF7DA9,Wigan Metropolitan Development Co Ltd,Wigan Metropolitan Development Co Ltd Wigan Investment Centre,Waterside Drive,,Wigan,Wigan,WN3 5BA,England,Wigan,E01006349,Wigan 015A,24/7 Access,Restricted,53.53965,-2.63586,Greater Manchester
